source,relation,target,source_type,target_type
CCS measurements,usesDevice_Device_measures,duty cycle,Scientific Experiment,Quantity
SUBSTRATE PROCESSING SYSTEMS,usedToDiagnose_MaterialEntity_hasApplicationField,SUBSTRATE PROCESSING,Diagnostic Device,Application Field
connection unit,usedIn_ResearchActivity_hasPlasmaSource,first electrode,Diagnostic Device,Plasma Source
wafer,usedToDiagnose_MaterialEntity_hasApplicationField,deposition,Diagnostic Device,Application Field
broader laser profiles,investigates,laser photodetachment effect,Scientific Experiment,Physical Effect
iCCD,measures,displacement current,Diagnostic Device,Quantity
sccm,unit_of,discharge volume,Unit,Quantity
m,unit_of,Positive polarity,Unit,Quantity
voltage variation,usesDevice_Device_measures,voltage amplitude,Scientific Experiment,Quantity
experimental,hasMedium,gas mixtures,Scientific Experiment,Medium
DBD,measures,exposure times,Plasma Source,Quantity
core tube,measures,velocity,Diagnostic Device,Quantity
SDBDs,measures_hasUnit,µm,Plasma Source,Unit
plasma source,measures,magnetic field,Plasma Source,Quantity
spectrometer,usedIn_ResearchActivity_investigates,ionization,Diagnostic Device,Physical Effect
multi peak structures,generatedBy_measures,time,Plasma Study,Quantity
Plasmatron,usedIn_ResearchActivity_hasPlasmaSource,plasma jet,Diagnostic Device,Plasma Source
long distance microscope,measures,width,Diagnostic Device,Quantity
power source,usedIn_ResearchActivity_hasPlasmaSource,lower electrode,Diagnostic Device,Plasma Source
modern surface analysis,hasPlasmaSource,dielectric barrier discharges,Scientific Experiment,Plasma Source
particle density,hasUnit,eV,Quantity,Unit
spectra,hasMedium,water vapour,Scientific Experiment,Medium
electrostatic probe,usedIn_ResearchActivity_hasPlasmaSource,radio frequency,Diagnostic Device,Plasma Source
K,unit_of,thermal velocity,Unit,Quantity
spatially resolved,hasMedium,N 2 O 2 gas mixtures,Scientific Experiment,Medium
APTD,measures_hasUnit,kHz,Plasma Source,Unit
reactor,measures,pressure,Diagnostic Device,Quantity
overview spectra,usesDevice_Device_measures,FNS 0 0 emission,Scientific Experiment,Quantity
Pfeiffer MVP 020 3 AC,measures_hasUnit,bar,Diagnostic Device,Unit
chamber,usedToDiagnose_MaterialEntity_hasApplicationField,plasma etching,Diagnostic Device,Application Field
laser photodetachment,hasPlasmaSource,barrier discharges,Scientific Experiment,Plasma Source
linear accelerator,usedIn_ResearchActivity_investigates,electromagnetic,Diagnostic Device,Physical Effect
plasma density,hasApplicationField,plasma processing,Plasma Study,Application Field
sensor,usedIn_ResearchActivity_investigates,quantum superposition,Diagnostic Device,Physical Effect
ns pulsed,unit_of,duration,Unit,Quantity
surface charges,hasUnit,m s,Quantity,Unit
surface charges,hasUnit,mbar,Quantity,Unit
pulsed,generatedBy_measures,diameter,Plasma Study,Quantity
streak investigations,hasPlasmaSource_generates,high pressure,Scientific Experiment,Plasma Study
ppm,unit_of,transferred charge,Unit,Quantity
µs,unit_of,electrical DBD current,Unit,Quantity
anode,usedIn_ResearchActivity_hasMedium,gas,Diagnostic Device,Medium
DBD,uses,molecular gases,Plasma Source,Medium
electro optic crystal,usedIn_ResearchActivity_investigates,breakdown,Diagnostic Device,Physical Effect
accelerator,usedIn_ResearchActivity_investigates,Electromagnetic,Diagnostic Device,Physical Effect
time resolved measurement,investigates,Pockels effect,Scientific Experiment,Physical Effect
electrical measurements,usesDevice_Device_measures,pressure,Scientific Experiment,Quantity
emission intensity measurements,investigates,transition,Scientific Experiment,Physical Effect
organometallic gas,used_in,atmospheric pressure,Medium,Plasma Source
reactor electrode,measures,flow,Diagnostic Device,Quantity
gas supply,usedIn_ResearchActivity_hasMedium,O2,Diagnostic Device,Medium
mm,unit_of,cross section area,Unit,Quantity
non equilibrium,generatedBy_measures,vibrational temperature,Plasma Study,Quantity
measured,usesDevice_Device_measures,applied voltage,Scientific Experiment,Quantity
experiment,usesDevice_Device_measures,electron density,Scientific Experiment,Quantity
ends of the device,measures,current,Diagnostic Device,Quantity
MDs,measures_hasUnit,kHz,Plasma Source,Unit
synchronized,usesDevice_Device_measures,time scale,Scientific Experiment,Quantity
µs,unit_of,optical emission,Unit,Quantity
Td,unit_of,rates for metastable s conversion,Unit,Quantity
decay time,hasUnit,second,Quantity,Unit
APTD,measures,He N 2 ratio depending,Plasma Source,Quantity
light source,usedIn_ResearchActivity_hasPlasmaSource,laser sustained,Diagnostic Device,Plasma Source
DBD,measures_hasUnit,ms,Plasma Source,Unit
pulse generator,usedIn_ResearchActivity_investigates,polarization,Diagnostic Device,Physical Effect
second,unit_of,decay time,Unit,Quantity
laser pulse energy,hasUnit,ppm,Quantity,Unit
shielding gas distributor,usedIn_ResearchActivity_hasPlasmaSource,torch,Diagnostic Device,Plasma Source
mm,unit_of,length to diameter,Unit,Quantity
antenna,usedIn_ResearchActivity_hasPlasmaSource,microwave,Diagnostic Device,Plasma Source
mm,unit_of,current,Unit,Quantity
power conversion system,usedIn_ResearchActivity_investigates,thermal,Diagnostic Device,Physical Effect
IC devices,usedToDiagnose_MaterialEntity_hasApplicationField,lithographic projection apparatus,Diagnostic Device,Application Field
eV,unit_of,secondary electron emission rates,Unit,Quantity
kV,unit_of,electrical energy per cycle,Unit,Quantity
charge,hasUnit,vol,Quantity,Unit
high frequency,measures,impedance,Plasma Source,Quantity
deflection electromagnets,measures,current,Diagnostic Device,Quantity
source space,usedIn_ResearchActivity_hasMedium,liquid vapor,Diagnostic Device,Medium
measured,hasMedium,impurities,Scientific Experiment,Medium
relaxation time,hasUnit,μS,Quantity,Unit
length to diameter,hasUnit,mm,Quantity,Unit
spatio temporal development,hasPlasmaSource,MDs,Scientific Experiment,Plasma Source
reactive gas,used_in,source,Medium,Plasma Source
microwave,measures,time,Plasma Source,Quantity
chamber,usedIn_ResearchActivity_hasMedium,gases,Diagnostic Device,Medium
N 2,used_in,DBDs,Medium,Plasma Source
laser,measures,height,Diagnostic Device,Quantity
ion beam,measures,negative voltage,Plasma Source,Quantity
Propulsion device,usedIn_ResearchActivity_investigates,waves,Diagnostic Device,Physical Effect
discharge characteristics,generatedBy_measures,gap voltage,Plasma Study,Quantity
single shot,usesDevice_Device_measures,intensity,Scientific Experiment,Quantity
tube,measures,flow,Diagnostic Device,Quantity
plasma processing apparatus,measures,length,Diagnostic Device,Quantity
m s 1,unit_of,CDIF velocity,Unit,Quantity
dielectric barrier discharges,uses,gas mixtures,Plasma Source,Medium
laser beam,usesDevice_Device_measures,area,Scientific Experiment,Quantity
residual,hasUnit,kV,Quantity,Unit
plasma sources,measures,pressure,Plasma Source,Quantity
diagnostics,usesConfiguration,symmetric double sided arrangement,Scientific Experiment,Configuration
electric discharge,uses,steam,Plasma Source,Medium
charge measurement,usesConfiguration,plane parallel,Scientific Experiment,Configuration
atmospheric pressure,hasApplicationField,surface modification,Plasma Study,Application Field
power conversion system,measures,heat,Diagnostic Device,Quantity
V,unit_of,effective ionization coefficient,Unit,Quantity
experimental results,usesDevice_Device_measures,conversion frequency,Scientific Experiment,Quantity
reduced electrical field strength,hasUnit,vol,Quantity,Unit
Experimental details,usesDevice_Device_measures,voltage,Scientific Experiment,Quantity
atmospheric pressure,uses,argon,Plasma Source,Medium
semiconductor switch,measures,voltage,Diagnostic Device,Quantity
kV,unit_of,streamer propagation velocity,Unit,Quantity
microtron electron accelerator,measures,time,Plasma Source,Quantity
discharge current for each filament was recorded,hasMedium,virtually pure N 2,Scientific Experiment,Medium
pulsed,measures,flow,Plasma Source,Quantity
V,unit_of,polarity,Unit,Quantity
RF power source,usedIn_ResearchActivity_investigates,electric field,Diagnostic Device,Physical Effect
plasma arc cutting torch,measures,-velocity,Plasma Source,Quantity
generator,usedIn_ResearchActivity_investigates,phase,Diagnostic Device,Physical Effect
width,hasUnit,s,Quantity,Unit
local electric field,hasUnit,ns,Quantity,Unit
cm,unit_of,charge carrier densities,Unit,Quantity
non inductive shunt resistor,hasConfiguration,grounded electrode,Diagnostic Device,Configuration
BD,measures_hasUnit,kV cm 1,Plasma Source,Unit
APTD,measures,intensity,Plasma Source,Quantity
generator,usedIn_ResearchActivity_hasPlasmaSource,pulsed,Diagnostic Device,Plasma Source
reactors,usedIn_ResearchActivity_hasPlasmaSource,capacitive coupling,Diagnostic Device,Plasma Source
laser,measures_hasUnit,cm,Diagnostic Device,Unit
the antenna,usedIn_ResearchActivity_hasPlasmaSource,gas outlet,Diagnostic Device,Plasma Source
capacitors,usedToDiagnose_MaterialEntity_hasApplicationField,ion extraction,Diagnostic Device,Application Field
gun body,usedIn_ResearchActivity_hasPlasmaSource,plasma arc,Diagnostic Device,Plasma Source
upper electrode,measures,voltage,Plasma Source,Quantity
temporal resolution,investigates,breakdown mechanism,Scientific Experiment,Physical Effect
Q V plot,hasPlasmaSource_generates,discharge characteristics,Scientific Experiment,Plasma Study
ppm,unit_of,concentration,Unit,Quantity
thermal,hasApplicationField,coating,Plasma Study,Application Field
reactor,usedIn_ResearchActivity_investigates,nuclear fusion,Diagnostic Device,Physical Effect
plasma reactor,measures,volumes,Diagnostic Device,Quantity
ns,unit_of,resistors,Unit,Quantity
experiment,usesDevice_Device_measures,voltage amplitude,Scientific Experiment,Quantity
igniter,measures,volume,Diagnostic Device,Quantity
lowpressure,generatedBy_measures,pressure,Plasma Study,Quantity
experiment,usesDevice_Device_measures,pause times,Scientific Experiment,Quantity
circuit,usedIn_ResearchActivity_hasPlasmaSource,torch,Diagnostic Device,Plasma Source
time scales,hasUnit,s,Quantity,Unit
pressure,hasUnit,V,Quantity,Unit
μs,unit_of,relaxation time,Unit,Quantity
plasma chamber,usedToDiagnose_MaterialEntity_hasApplicationField,plasma processing,Diagnostic Device,Application Field
N 2 O admixture in N 2,used_in,DBDs,Medium,Plasma Source
kPa,unit_of,frequency,Unit,Quantity
radiative lifetime,hasUnit,ns,Quantity,Unit
plasma source,measures,electromagnetic field,Plasma Source,Quantity
gas mixture,used_in,DBDs,Medium,Plasma Source
ppm,unit_of,short lifetime of helium metastables,Unit,Quantity
dielectric barrier thicknesses,hasUnit,ms,Quantity,Unit
Barrier discharges,uses,air,Plasma Source,Medium
water tube,usedIn_ResearchActivity_hasPlasmaSource,anode coil,Diagnostic Device,Plasma Source
DBD channel,generatedBy_measures,flow rates,Plasma Study,Quantity
monochromator,measures,optical emission,Diagnostic Device,Quantity
observed,usesConfiguration,different geometries of the electrodes,Scientific Experiment,Configuration
standard condition,investigates,CO 2 dissociation,Scientific Experiment,Physical Effect
striations,generatedBy_measures,recombination rates,Plasma Study,Quantity
ion source,measures,radio frequency power,Plasma Source,Quantity
single shots,usesDevice_Device_measures,current peak,Scientific Experiment,Quantity
voltage amplitude,hasUnit,vol,Quantity,Unit
observed,hasMedium,gas compositions,Scientific Experiment,Medium
ns,unit_of,electrical current,Unit,Quantity
amplifier,usedIn_ResearchActivity_investigates,induction,Diagnostic Device,Physical Effect
set of electrodes,measures,electrical energy,Plasma Source,Quantity
vol,unit_of,oxygen concentrations,Unit,Quantity
TDS 7054,measures_hasUnit,MHz,Diagnostic Device,Unit
optical systems,usesDevice_Device_measures,transmission coefficients,Scientific Experiment,Quantity
experiment,investigates,stratification of the discharge channel,Scientific Experiment,Physical Effect
0 1 vol O 2 in N 2,used_in,DBD,Medium,Plasma Source
nF,unit_of,capacitor,Unit,Quantity
measured,usesDevice_Device_measures,distance,Scientific Experiment,Quantity
laser beam,investigates,laser interaction,Scientific Experiment,Physical Effect
fast optical and electrical,usesDevice_Device_measures,transferred charge,Scientific Experiment,Quantity
iCCD single shots,usesDevice_Device_measures,area,Scientific Experiment,Quantity
16 memory segments,usesDevice_Device_measures,time scale,Scientific Experiment,Quantity
power supply,measures,pulse width,Diagnostic Device,Quantity
Electrical behavior and characterization,hasPlasmaSource,DBDs,Scientific Experiment,Plasma Source
atmospheric pressure,generatedBy_measures,flow rate,Plasma Study,Quantity
quantitative measurement of surface charges,usesDevice_Device_measures,surface charges,Scientific Experiment,Quantity
housing,usedToDiagnose_MaterialEntity_hasApplicationField,plasma generation,Diagnostic Device,Application Field
reliable characterization,involves_MaterialEntity_hasApplicationField,DBD reactors,Scientific Experiment,Application Field
time window,usesDevice_Device_measures,O 2 N 2 ratio,Scientific Experiment,Quantity
plasma reactor,usedIn_ResearchActivity_hasPlasmaSource,RF -driven,Diagnostic Device,Plasma Source
remote plasma source,measures,distribution,Diagnostic Device,Quantity
K,unit_of,conductivity,Unit,Quantity
induction,measures,gap,Plasma Source,Quantity
ns,unit_of,current rise time,Unit,Quantity
pressure,hasUnit,mm,Quantity,Unit
APTDs,measures_hasUnit,µs,Plasma Source,Unit
power supply unit,measures,voltage,Diagnostic Device,Quantity
long distance microscope,measures_hasUnit,μm,Diagnostic Device,Unit
plasma generating device,usedIn_ResearchActivity_hasPlasmaSource,discharge,Diagnostic Device,Plasma Source
DBD,uses,admixture of more complex molecules,Plasma Source,Medium
power detection unit,measures,radio frequency power,Diagnostic Device,Quantity
air,used_in,gas discharges,Medium,Plasma Source
vacuum pump,usedIn_ResearchActivity_investigates,EUV radiation,Diagnostic Device,Physical Effect
ionizable gas,used_in,ion source chamber,Medium,Plasma Source
two lens microscope,hasConfiguration,tip of the HV electrode,Diagnostic Device,Configuration
measurement of surface charges,investigates,electro optic Pockels effect,Scientific Experiment,Physical Effect
optical measurements,hasPlasmaSource,DBD,Scientific Experiment,Plasma Source
experimental conditions,usesConfiguration,discharge gap,Scientific Experiment,Configuration
ring,measures,magnetic field,Diagnostic Device,Quantity
controller,measures,time,Diagnostic Device,Quantity
wafer,measures,temperature,Diagnostic Device,Quantity
APPARATUS,usedToDiagnose_MaterialEntity_hasApplicationField,CONTROLLING CHARGED PARTICLES,Diagnostic Device,Application Field
compact circuits,usedIn_ResearchActivity_hasPlasmaSource,tipping needle,Diagnostic Device,Plasma Source
power supply,usedToDiagnose_MaterialEntity_hasApplicationField,plasma cutting,Diagnostic Device,Application Field
